"time_idx","location","value","target"
"2020-05-23","17",0,"inc hosp"
"2020-05-23","18",0,"inc hosp"
"2020-05-23","20",0,"inc hosp"
"2020-05-23","21",0,"inc hosp"
"2020-05-23","22",0,"inc hosp"
"2020-05-23","25",0,"inc hosp"
"2020-05-23","24",0,"inc hosp"
"2020-05-23","23",0,"inc hosp"
"2020-05-23","26",0,"inc hosp"
"2020-05-23","27",0,"inc hosp"
"2020-05-23","29",0,"inc hosp"
"2020-05-23","28",0,"inc hosp"
"2020-05-23","30",0,"inc hosp"
"2020-05-23","37",0,"inc hosp"
"2020-05-23","38",0,"inc hosp"
"2020-05-23","31",0,"inc hosp"
"2020-05-23","33",0,"inc hosp"
"2020-05-23","34",0,"inc hosp"
"2020-05-23","35",0,"inc hosp"
"2020-05-23","32",0,"inc hosp"
"2020-05-23","36",5,"inc hosp"
"2020-05-23","39",0,"inc hosp"
"2020-05-23","40",0,"inc hosp"
"2020-05-23","41",0,"inc hosp"
"2020-05-23","42",0,"inc hosp"
"2020-05-23","72",0,"inc hosp"
"2020-05-23","44",0,"inc hosp"
"2020-05-23","45",0,"inc hosp"
"2020-05-23","46",0,"inc hosp"
"2020-05-23","47",0,"inc hosp"
"2020-05-23","48",0,"inc hosp"
